q01
d259:0.1080,d085:0.0858,d186:0.0747,d254:0.0723,d016:0.0699,d170:0.0645,d154:0.0538,d153:0.0503,d008:0.0473,d209:0.0449,d296:0.0448,d163:0.0439,d215:0.0433,d089:0.0376,d060:0.0331,d185:0.0313,d100:0.0312,d094:0.0308,d006:0.0289,d315:0.0284,d004:0.0284,d243:0.0278,d179:0.0251,d099:0.0243,d145:0.0240,d039:0.0236,d162:0.0229,d312:0.0209,d059:0.0204,d065:0.0202,d299:0.0190,d077:0.0188,d329:0.0186,d273:0.0186,d082:0.0181,d028:0.0178,d311:0.0173,d317:0.0170,d212:0.0169,d195:0.0165,d284:0.0163,d130:0.0162,d265:0.0161,d152:0.0160,d255:0.0159,d281:0.0154,d136:0.0154,d164:0.0153,d074:0.0152,d032:0.0151,d184:0.0148,d172:0.0146,d275:0.0145,d123:0.0144,d052:0.0139,d316:0.0138,d038:0.0138,d021:0.0135,d024:0.0134,d234:0.0128,d229:0.0126,d116:0.0126
q02
d147:0.1277,d149:0.1103,d283:0.0811,d291:0.0692,d293:0.0691,d136:0.0614,d037:0.0560,d014:0.0526,d002:0.0520,d282:0.0456,d052:0.0373,d316:0.0369,d039:0.0361,d294:0.0321,d023:0.0240,d318:0.0232,d143:0.0227,d187:0.0216,d134:0.0210,d107:0.0192,d306:0.0191,d166:0.0190,d103:0.0189,d051:0.0185,d128:0.0180,d150:0.0176,d296:0.0169,d139:0.0168,d145:0.0168,d211:0.0164,d117:0.0157,d287:0.0157,d017:0.0155,d106:0.0153,d222:0.0152,d124:0.0152,d268:0.0150,d142:0.0149,d320:0.0146,d164:0.0143,d252:0.0141,d058:0.0139,d119:0.0134,d090:0.0134,d250:0.0133,d160:0.0131,d290:0.0131,d248:0.0130,d131:0.0129,d137:0.0127,d047:0.0125,d185:0.0124,d173:0.0124,d020:0.0123,d108:0.0121,d234:0.0119,d246:0.0118,d227:0.0118,d197:0.0117,d254:0.0115,d046:0.0110,d237:0.0110,d044:0.0110,d031:0.0106,d210:0.0103,d243:0.0103,d172:0.0102,d018:0.0101,d307:0.0100,d202:0.0096,d068:0.0095,d151:0.0095,d083:0.0093,d260:0.0093,d098:0.0089,d158:0.0088,d121:0.0085,d263:0.0084,d144:0.0083,d022:0.0083,d305:0.0082,d264:0.0082,d042:0.0081,d179:0.0081,d116:0.0080,d021:0.0079,d206:0.0079,d154:0.0078,d239:0.0075,d229:0.0074,d251:0.0073,d082:0.0072,d054:0.0072,d007:0.0070,d122:0.0069,d140:0.0069,d212:0.0068,d308:0.0064,d245:0.0064,d062:0.0064,d005:0.0064,d242:0.0064,d269:0.0060,d215:0.0059,d221:0.0059,d228:0.0058,d180:0.0057,d120:0.0056,d130:0.0055,d133:0.0055,d262:0.0055,d064:0.0054,d257:0.0054,d010:0.0054,d204:0.0054,d319:0.0054,d063:0.0054,d322:0.0053,d225:0.0052,d327:0.0052,d153:0.0052,d323:0.0051,d118:0.0050,d186:0.0050,d029:0.0049,d200:0.0049,d324:0.0048,d077:0.0048,d271:0.0047,d298:0.0047,d255:0.0047,d218:0.0047,d019:0.0044,d129:0.0044,d230:0.0042,d224:0.0041,d040:0.0041,d043:0.0040,d236:0.0040,d055:0.0040,d050:0.0038,d045:0.0037,d105:0.0037,d070:0.0036,d232:0.0036,d219:0.0035,d273:0.0035,d001:0.0034,d198:0.0034,d141:0.0033,d238:0.0033,d309:0.0032,d300:0.0032,d190:0.0032,d317:0.0032,d233:0.0032,d297:0.0031,d284:0.0030,d101:0.0030,d226:0.0030,d102:0.0030,d279:0.0030,d163:0.0030,d277:0.0030,d161:0.0030,d313:0.0030,d285:0.0030,d278:0.0030,d314:0.0029,d061:0.0029,d281:0.0029,d004:0.0029,d205:0.0028,d216:0.0028,d302:0.0028,d079:0.0028,d196:0.0028,d266:0.0027,d191:0.0027,d214:0.0027,d330:0.0026,d027:0.0026,d286:0.0026,d249:0.0026,d152:0.0026,d067:0.0026,d244:0.0025,d080:0.0025,d188:0.0025,d024:0.0025,d304:0.0024,d194:0.0024,d085:0.0024,d328:0.0024,d184:0.0024,d203:0.0023,d162:0.0023,d003:0.0023,d303:0.0023
q03
d283:0.0757,d291:0.0692,d147:0.0603,d318:0.0572,d152:0.0541,d105:0.0492
q04
d270:0.1316,d019:0.1241,d310:0.1053,d049:0.1035,d275:0.0936,d010:0.0880,d289:0.0694,d286:0.0558,d330:0.0462,d100:0.0457,d184:0.0402,d013:0.0164,d130:0.0159,d060:0.0151,d110:0.0150,d306:0.0150,d314:0.0148,d205:0.0146,d252:0.0142,d093:0.0141,d091:0.0138,d111:0.0132,d046:0.0131,d296:0.0127,d081:0.0125,d196:0.0124,d199:0.0121,d208:0.0118,d142:0.0115,d121:0.0114,d312:0.0113,d300:0.0113,d298:0.0112,d246:0.0109,d213:0.0106,d308:0.0106,d075:0.0106,d082:0.0106,d307:0.0105,d303:0.0101,d133:0.0101,d018:0.0096,d071:0.0094,d122:0.0093,d005:0.0093,d292:0.0093,d230:0.0092,d048:0.0091,d262:0.0091,d251:0.0091,d268:0.0089,d301:0.0089,d216:0.0088,d001:0.0086,d114:0.0086,d124:0.0083,d041:0.0083,d327:0.0083,d180:0.0082,d117:0.0081,d193:0.0081,d030:0.0081,d043:0.0079,d290:0.0077,d160:0.0075,d113:0.0075,d264:0.0075,d089:0.0074,d050:0.0074,d198:0.0074,d259:0.0072,d061:0.0072,d014:0.0071,d279:0.0070,d020:0.0070,d104:0.0070,d108:0.0070,d212:0.0069,d271:0.0069,d248:0.0068,d261:0.0067,d227:0.0066,d163:0.0065,d062:0.0065,d040:0.0065,d263:0.0065,d215:0.0065,d253:0.0065,d087:0.0064,d088:0.0064,d123:0.0063,d250:0.0063,d186:0.0062,d164:0.0061,d194:0.0061,d226:0.0060,d131:0.0059,d119:0.0059,d024:0.0059,d192:0.0056,d073:0.0056,d269:0.0055,d125:0.0054,d319:0.0054,d063:0.0054,d280:0.0051,d029:0.0049,d055:0.0049,d136:0.0048,d265:0.0048,d126:0.0048,d234:0.0047,d294:0.0047,d175:0.0046,d162:0.0045,d023:0.0045,d241:0.0045,d266:0.0043,d214:0.0042,d189:0.0042,d257:0.0040,d021:0.0040,d244:0.0040,d221:0.0040,d009:0.0039,d304:0.0039,d039:0.0038,d145:0.0038,d238:0.0037,d052:0.0035,d276:0.0035,d157:0.0035,d022:0.0034,d219:0.0031,d200:0.0030,d210:0.0030,d255:0.0029,d274:0.0029,d129:0.0027,d106:0.0026,d197:0.0026,d112:0.0026,d006:0.0026,d181:0.0026,d042:0.0025,d047:0.0024,d209:0.0023,d202:0.0023,d284:0.0023,d102:0.0023,d242:0.0023,d058:0.0022,d206:0.0022,d143:0.0022,d070:0.0022,d232:0.0022,d302:0.0021,d237:0.0021,d220:0.0021,d037:0.0021,d217:0.0021,d191:0.0020,d054:0.0020,d144:0.0020,d225:0.0020,d120:0.0020,d291:0.0020,d012:0.0020,d059:0.0020,d044:0.0020,d249:0.0019,d092:0.0019,d207:0.0019,d031:0.0019,d278:0.0018,d235:0.0018,d147:0.0017,d032:0.0017,d079:0.0017,d151:0.0017,d098:0.0016,d027:0.0016,d174:0.0014,d229:0.0014,d066:0.0014,d295:0.0013,d007:0.0013,d095:0.0013,d086:0.0013,d069:0.0013,d051:0.0013,d028:0.0013,d211:0.0012,d036:0.0012,d008:0.0012,d065:0.0012,d166:0.0012,d247:0.0012,d331:0.0012,d146:0.0011,d287:0.0011,d156:0.0011,d056:0.0011,d099:0.0011,d004:0.0011,d231:0.0011,d260:0.0010,d076:0.0010,d254:0.0010,d115:0.0010,d195:0.0010,d169:0.0010,d038:0.0010,d168:0.0010,d183:0.0010,d080:0.0010,d015:0.0009,d085:0.0009,d258:0.0009,d118:0.0009,d256:0.0009,d203:0.0009,d003:0.0009,d283:0.0009,d324:0.0008,d316:0.0008,d293:0.0008,d179:0.0008,d177:0.0008
q06
d329:0.2345,d297:0.2240,d026:0.1531,d029:0.1169,d025:0.1105,d257:0.1019,d233:0.0910,d069:0.0639,d186:0.0449,d077:0.0429,d303:0.0420,d004:0.0408,d302:0.0402,d012:0.0370,d166:0.0322,d154:0.0319,d023:0.0289,d211:0.0286,d139:0.0286,d215:0.0258,d225:0.0228,d021:0.0220,d265:0.0208,d208:0.0200,d060:0.0197,d231:0.0192,d245:0.0176,d236:0.0173,d110:0.0158,d070:0.0157,d003:0.0156,d192:0.0155,d237:0.0153,d220:0.0153,d081:0.0152,d134:0.0151,d319:0.0148,d270:0.0142,d044:0.0141,d170:0.0140,d104:0.0139,d212:0.0138,d247:0.0135,d209:0.0134,d128:0.0134,d202:0.0134,d163:0.0130,d034:0.0130,d061:0.0126,d205:0.0124,d079:0.0122,d129:0.0120,d018:0.0118,d041:0.0116,d098:0.0115,d193:0.0113,d087:0.0112,d262:0.0111,d046:0.0110,d305:0.0105,d234:0.0105,d039:0.0103,d033:0.0103,d116:0.0103,d052:0.0097,d251:0.0093,d199:0.0092,d294:0.0086
q07
